sezon,data,godz,cena_pln_mwh
Zima,2025-01-07,18,518.74
Zima,2025-01-07,19,492.89
Zima,2025-01-07,20,420.96
Zima,2025-01-07,21,366.85
Zima,2025-01-07,22,342.25
Zima,2025-01-07,23,247.55
Zima,2025-01-08,0,253.62
Zima,2025-01-08,1,230.3
Zima,2025-01-08,2,202.91
Zima,2025-01-08,3,195.82
Zima,2025-01-08,4,209.67
Zima,2025-01-08,5,300.07
Zima,2025-01-08,6,436.06
Zima,2025-01-08,7,483.3
Zima,2025-01-08,8,529.42
Zima,2025-01-08,9,484.7
Zima,2025-01-08,10,439.58
Zima,2025-01-08,11,428.71
Zima,2025-01-08,12,422.45
Zima,2025-01-08,13,458.81
Zima,2025-01-08,14,499.12
Zima,2025-01-08,15,564.61
Zima,2025-01-08,16,617.71
Zima,2025-01-08,17,635.75
Zima,2025-01-08,18,620.77
Zima,2025-01-08,19,598.11
Zima,2025-01-08,20,559.04
Zima,2025-01-08,21,503.64
Zima,2025-01-08,22,478.12
Zima,2025-01-08,23,440.49
Zima,2025-01-09,0,439.79
Zima,2025-01-09,1,430.16
Zima,2025-01-09,2,421.35
Zima,2025-01-09,3,417.03
Zima,2025-01-09,4,432.41
Zima,2025-01-09,5,460.32
Zima,2025-01-09,6,573.33
Zima,2025-01-09,7,650.5
Zima,2025-01-09,8,700.5
Zima,2025-01-09,9,682.03
Zima,2025-01-09,10,644.13
Zima,2025-01-09,11,610.03
Zima,2025-01-09,12,580.72
Zima,2025-01-09,13,583.28
Zima,2025-01-09,14,591.13
Zima,2025-01-09,15,598.0
Zima,2025-01-09,16,640.54
Zima,2025-01-09,17,589.74
Zima,2025-01-09,18,567.62
Zima,2025-01-09,19,538.71
Zima,2025-01-09,20,500.46
Zima,2025-01-09,21,439.63
Zima,2025-01-09,22,434.67
Zima,2025-01-09,23,367.41
Zima,2025-01-10,0,320.82
Zima,2025-01-10,1,298.24
Zima,2025-01-10,2,235.29
Zima,2025-01-10,3,216.88
Zima,2025-01-10,4,267.12
Zima,2025-01-10,5,309.52
Zima,2025-01-10,6,427.05
Zima,2025-01-10,7,488.38
