data;godzina;zuzycie_kWh;koszt_G11_zl;koszt_G12_zl;koszt_RDN_zl;cena_RDN_zl_kWh
2026-08-04;23:00;0,8191;0,9010;0,5078;1,0467;603,96
2026-08-05;00:00;2,1463;2,3609;1,3307;2,8681;651,42
